"Navn";"Takst liten bil";"Takst stor bil";"Vegnummer";"Lat";"Long:";"Autopass";"Autopass-beskrivelse";"Kommunenr"
"Forusbeen";"20.0";"50.0";"Fv443";"58.89276";"5.69604";"Ja";"AutoPASS + automatisk";"1102"
"Bærheim";"20.0";"50.0";"Fv443";"58.88377";"5.69317";"Ja";"AutoPASS + automatisk";"1102"
"Nybakk 2";"22.0";"44.0";"Fv450";"60.12233";"11.30009";"Ja";"AutoPASS + automatisk";"0235"
"Vestre byområde";"18.0";"36.0";"Fv459";"64.46955";"11.48453";"Ja";"AutoPASS + automatisk";"1703"
"Slagendalen";"15.0";"30.0";"Fv460";"59.28349";"10.43343";"Ja";"AutoPASS + automatisk";"0704"
"Gjervollstad";"25.0";"50.0";"Fv465";"58.21483";"6.79515";"Ja";"AutoPASS + automatisk";"1003"
"False";"20.0";"50.0";"Fv505";"58.79824";"5.72638";"Ja";"AutoPASS + automatisk";"1120"
"Soma";"20.0";"50.0";"Fv509";"58.86703";"5.69222";"Ja";"AutoPASS + automatisk";"1102"
"Sele";"20.0";"50.0";"Fv510";"58.81411";"5.58841";"Ja";"AutoPASS + automatisk";"1120"
"Fv 510 Nesbuveien";"False";"False";"Fv510";"58.91449";"5.68534";"Ja";"AutoPASS + automatisk";"1103"
"Fv519 Finnfast Bomstasjon";"150.0";"590.0";"Fv519";"59.11862";"5.76030";"Ja";"AutoPASS + automatisk";"1142"
"Fyllingsdalen";"25.0";"50.0";"Fv540";"60.36414";"5.29758";"Ja";"AutoPASS + automatisk";"1201"
"Spissøy";"65.0";"130.0";"Fv542";"59.73661";"5.37035";"Ja";"AutoPASS + automatisk";"1219"
"HALSNØY";"100.0";"320.0";"Fv544";"59.79645";"5.73346";"Ja";"AutoPASS + automatisk";"1224"
"Folgefonn bomstasjon";"72.0";"145.0";"Fv551";"60.13357";"6.33326";"Ja";"Har autopass";"1224"
"Straume";"25.0";"50.0";"Fv556";"60.32259";"5.27098";"Ja";"AutoPASS + automatisk";"1201"
"Dolviken";"25.0";"50.0";"Fv557";"60.30966";"5.26667";"Ja";"AutoPASS + automatisk";"1201"
"Fv 562 Stongafjellet";"22.5";"45.0";"Fv562";"60.40827";"5.19666";"Ja";"AutoPASS + automatisk";"1247"
"Fv 562 Nedre Kleppe";"22.5";"45.0";"Fv562";"60.42573";"5.19586";"Ja";"AutoPASS + automatisk";"1247"
"Fv 562 Storeklubben";"22.5";"45.0";"Fv562";"60.40267";"5.20882";"Ja";"AutoPASS + automatisk";"1247"
"Fv 563 Vatnavatnet";"22.5";"45.0";"Fv563";"60.41259";"5.23111";"Ja";"AutoPASS + automatisk";"1247"
"Storetveitvegen";"25.0";"50.0";"Fv582";"60.34623";"5.34932";"Ja";"AutoPASS + automatisk";"1201"
"Michael Krohnsgate";"25.0";"50.0";"Fv582";"60.38154";"5.31799";"Ja";"AutoPASS + automatisk";"1201"
"Nattlandsveien";"25.0";"50.0";"Fv585";"60.34631";"5.36408";"Ja";"AutoPASS + automatisk";"1201"
"Kalfaret";"25.0";"50.0";"Fv585";"60.38913";"5.33991";"Ja";"AutoPASS + automatisk";"1201"
"Strandveien";"15.5";"46.5";"Fv610";"59.91280";"10.63985";"Ja";"AutoPASS + automatisk";"0219"
"Imarsund";"105.0";"315.0";"Fv680";"63.23388";"8.26802";"Ja";"AutoPASS + automatisk";"1576"
"Torgård";"10.0";"30.0";"Fv704";"63.32637";"10.36759";"Ja";"AutoPASS + automatisk";"1601"
"Klett-Fv707";"10.0";"30.0";"Fv707";"63.32442";"10.30664";"Ja";"AutoPASS + automatisk";"1601"
"Ferje Brekstad - Valset";"65.0";"195.0";"Fv710";"63.68645";"9.66733";"Nei";"Kun manuell";"1621"
"Våvatnet";"52.0";"260.0";"Fv714";"63.33524";"9.53381";"Ja";"AutoPASS + automatisk";"1613"
"Vaslag";"67.0";"335.0";"Fv714";"63.49540";"9.27449";"Ja";"AutoPASS + automatisk";"1613"
"Flakk";"82.0";"246.0";"Fv715";"63.44961";"10.19535";"Ja";"AutoPASS + manuell";"1601"
"Rørvik";"82.0";"246.0";"Fv715";"63.50831";"10.13370";"Ja";"AutoPASS + manuell";"1624"
"Krinsvatn";"65.0";"195.0";"Fv715";"63.80258";"10.22872";"Ja";"AutoPASS + automatisk";"1624"
"Namsosbrua";"18.0";"36.0";"Fv769";"64.45935";"11.52324";"Ja";"AutoPASS + automatisk";"1703"
"Bråten";"18.0";"36.0";"Fv769";"64.47686";"11.48319";"Ja";"AutoPASS + automatisk";"1703"
"Øysand";"20.0";"40.0";"Fv800";"63.32255";"10.20905";"Ja";"AutoPASS + automatisk";"1653"
"Thamshavn";"20.0";"40.0";"Fv800";"63.32936";"9.90869";"Ja";"AutoPASS + automatisk";"1657"
"Byåsvegen sør for Havstadvegen";"8.0";"24.0";"Fv812";"63.40544";"10.35895";"Ja";"AutoPASS + automatisk";"1601"
"SPANNAVEIEN";"14.0";"28.0";"Fv831";"59.40128";"5.29873";"Ja";"AutoPASS + automatisk";"1106"
"Bøckmansveg";"8.0";"24.0";"Fv856";"63.40548";"10.38296";"Ja";"AutoPASS + automatisk";"1601"
"Ryaforbindelsen";"100.0";"100.0";"Fv858";"69.57571";"18.78412";"Ja";"AutoPASS + automatisk";"1902"
"Ryaforbindelsen";"100.0";"100.0";"Fv858";"69.57578";"18.78420";"Ja";"AutoPASS + automatisk";"1902"
"Torbjørns Brattsveg";"8.0";"24.0";"Fv860";"63.40878";"10.42068";"Ja";"AutoPASS + automatisk";"1601"
"Jonsvannsvegen";"8.0";"24.0";"Fv861";"63.40929";"10.44054";"Ja";"AutoPASS + automatisk";"1601"
"Haakon VII gate vest for Omkjv";"8.0";"24.0";"Fv868";"63.43026";"10.47596";"Ja";"AutoPASS + automatisk";"1601"
"False";"8.0";"24.0";"Fv868";"63.43018";"10.47601";"Ja";"AutoPASS + automatisk";"1601"
"Brattsbergvegen nord for omkv.";"8.0";"24.0";"Fv885";"63.40241";"10.40054";"Ja";"AutoPASS + automatisk";"1601"
"Tillerbrua";"10.0";"30.0";"Fv885";"63.34900";"10.43741";"Ja";"AutoPASS + automatisk";"1601"
"SALHUSVEIEN";"14.0";"28.0";"Fv923";"59.40038";"5.28461";"Ja";"AutoPASS + automatisk";"1106"
"SKEISVOLLVEIEN";"14.0";"28.0";"Fv924";"59.42878";"5.27196";"Ja";"AutoPASS + automatisk";"1106"
"SKJOLDAVEGEN";"14.0";"28.0";"Fv938";"59.41498";"5.30700";"Ja";"AutoPASS + automatisk";"1106"
"Være";"10.0";"20.0";"Fv950";"63.43057";"10.56658";"Ja";"AutoPASS + automatisk";"1601"
"Skarsmoen";"16.5";"33.0";"Ft312";"61.28178";"10.29589";"Ja";"AutoPASS + automatisk";"0521"
"Drammensveien";"31.0";"93.0";"Kv161";"59.92206";"10.68509";"Ja";"AutoPASS + automatisk";"0301"
"Sørkedalsveien";"31.0";"93.0";"Kv168";"59.93146";"10.70870";"Ja";"AutoPASS + automatisk";"0301"
"Nedre Leirfoss";"10.0";"30.0";"Kv1827";"63.38156";"10.39241";"Ja";"AutoPASS + automatisk";"1601"
"Gml Oslov N for Skavlandsveg";"8.0";"24.0";"Kv2020";"63.40651";"10.34658";"Ja";"AutoPASS + automatisk";"1601"
"Travbaneveien";"20.0";"50.0";"Kv3150";"58.88955";"5.72117";"Ja";"AutoPASS + automatisk";"1103"
"Landbruksvegen ved IKEA";"8.0";"24.0";"Kv4235";"63.42683";"10.47505";"Ja";"AutoPASS + automatisk";"1601"
"Damsgård";"25.0";"50.0";"Kv4382";"60.38267";"5.31601";"Ja";"AutoPASS + automatisk";"1201"
"Tempevegen";"8.0";"24.0";"Kv7440";"63.40628";"10.39713";"Ja";"AutoPASS + automatisk";"1601"
"Tungasletta";"8.0";"24.0";"Kv7703";"63.42219";"10.46210";"Ja";"AutoPASS + automatisk";"1601"
"Åsenveien";"20.0";"50.0";"Kv8735";"58.89339";"5.68003";"Ja";"AutoPASS + automatisk";"1124"
"Ekebergveien";"31.0";"93.0";"Kv11462";"59.88947";"10.78217";"Ja";"AutoPASS + automatisk";"0301"
"Kongsveien";"31.0";"93.0";"Kv13868";"59.88803";"10.77059";"Ja";"AutoPASS + automatisk";"0301"
"Lambertseterveien";"31.0";"93.0";"Kv14102";"59.87898";"10.82262";"Ja";"AutoPASS + automatisk";"0301"
"Middelthuns gate";"31.0";"93.0";"Kv14742";"59.93019";"10.70733";"Ja";"AutoPASS + automatisk";"0301"
"Sandstuveien";"31.0";"93.0";"Kv16175";"59.88803";"10.80766";"Ja";"AutoPASS + automatisk";"0301"
"Slemdalsveien";"31.0";"93.0";"Kv16621";"59.93413";"10.70979";"Ja";"AutoPASS + automatisk";"0301"
"Strømsveien";"31.0";"93.0";"Kv17126";"59.93047";"10.85419";"Ja";"AutoPASS + automatisk";"0301"
"Tvetenveien";"31.0";"93.0";"Kv17852";"59.92644";"10.86212";"Ja";"AutoPASS + automatisk";"0301"
"Presteheia";"14.0";"28.0";"Kv18900";"58.16706";"8.01114";"Ja";"AutoPASS + automatisk";"1001"
"Karenlyst allè";"31.0";"93.0";"Kv20713";"59.92074";"10.68233";"Ja";"AutoPASS + automatisk";"0301"
"Militærvegen";"20.0";"40.0";"Sv80";"60.80423";"11.61163";"Nei";"Kun manuell";"0427"
